classifier;iteration;precision;recall;RC;kappa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;11;0,475;0,169642857;0,777167277;0,210028551;;Naive Bayess;11;0,463414634;0,169642857;0,777167277;0,207534559;;;Naive Bayess;11;0,412698413;0,232142857;0,739757156;0,244873869;;Naive Bayess;11;0,428571429;0,267857143;0,718037749;0,276139547;;;Naive Bayess;11;0,441860465;0,169642857;0,789720696;0,202628946
Naive Bayess;12;0,393939394;0,228070175;0,743452159;0,237569061;;Naive Bayess;12;0,456521739;0,184210526;0,790173572;0,221407625;;;Naive Bayess;12;0,380434783;0,307017544;0,730177616;0,280846063;;Naive Bayess;12;0,380434783;0,307017544;0,730177616;0,280846063;;;Naive Bayess;12;0,468085106;0,192982456;0,803035959;0,232142291
Naive Bayess;13;0,618181818;0,234482759;0,834368617;0,296616526;;Naive Bayess;13;0,571428571;0,193103448;0,799654572;0,245943068;;;Naive Bayess;13;0,5;0,282758621;0,810452962;0,304918604;;Naive Bayess;13;0,471698113;0,344827586;0,694431095;0,335462878;;;Naive Bayess;13;0,557692308;0,2;0,806851496;0,250015648
Naive Bayess;14;0,578947368;0,224489796;0,808032398;0,277937308;;Naive Bayess;14;0,519230769;0,183673469;0,793306924;0,225630206;;;Naive Bayess;14;0,505882353;0,292517007;0,777706056;0,313883009;;Naive Bayess;14;0,483516484;0,299319728;0,722482581;0,310141259;;;Naive Bayess;14;0,551724138;0,217687075;0,796136479;0,26521612
Naive Bayess;15;0,56;0,210526316;0,786864597;0,265015612;;Naive Bayess;15;0,658536585;0,203007519;0,787725725;0,275493939;;;Naive Bayess;15;0,536585366;0,330827068;0,764812673;0,359427561;;Naive Bayess;15;0,48;0,360902256;0,689971724;0,35555363;;;Naive Bayess;15;0,652173913;0,22556391;0,770323244;0,29838779
Naive Bayess;16;0,384615385;0,212765957;0,785415605;0,234705733;;Naive Bayess;16;0,38028169;0,287234043;0,761253228;0,28281438;;;Naive Bayess;16;0,324074074;0,372340426;0,731275366;0,292002663;;Naive Bayess;16;0,351648352;0,340425532;0,745686702;0,296063161;;;Naive Bayess;16;0,345679012;0,29787234;0,761038003;0,271418317
Naive Bayess;17;0,471698113;0,189393939;0,794508383;0,225376265;;Naive Bayess;17;0,492753623;0,257575758;0,793665556;0,288927399;;;Naive Bayess;17;0,347560976;0,431818182;0,815272288;0,307518718;;Naive Bayess;17;0,460674157;0,310606061;0,772507686;0,315255427;;;Naive Bayess;17;0,493506494;0,287878788;0,790994988;0,312387834
Naive Bayess;18;0,475409836;0,205673759;0,843572526;0,242844245;;Naive Bayess;18;0,460526316;0,24822695;0,839036755;0,273285346;;;Naive Bayess;18;0,443298969;0,304964539;0,817900386;0,306610188;;Naive Bayess;18;0,265822785;0,29787234;0,778842057;0,198951861;;;Naive Bayess;18;0,458823529;0,276595745;0,841005312;0,293681126
Naive Bayess;19;0,484375;0,269565217;0,844696538;0,308159691;;Naive Bayess;19;0,441176471;0,260869565;0,833950383;0,286941253;;;Naive Bayess;19;0,413043478;0,330434783;0,815340801;0,320501075;;Naive Bayess;19;0,413043478;0,330434783;0,797107778;0,320501075;;;Naive Bayess;19;0,432432432;0,27826087;0,838279223;0,296050318
Naive Bayess;20;0,456140351;0,245283019;0,839341788;0,283612144;;Naive Bayess;20;0,323308271;0,405660377;0,824703581;0,305185526;;;Naive Bayess;20;0,4;0,283018868;0,84042798;0,289906103;;Naive Bayess;20;0,070328198;0,990566038;0,842509001;-7,28E-04;;;Naive Bayess;20;0,392857143;0,311320755;0,837501015;0,303871373
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plain;iteration;precision;recall;AUC;kappa;;Feature Selection;iteration;precision;recall;AUC;kappa;;;Under Sampling;iteration;precision;recall;AUC;kappa;;Over Sampling;;;;AUC;;;;SMOTE;iteration;precision;recall;AUC;kappa
IBK;1;NaN;0;0,502227171;0;;IBK;1;NaN;0;0,779307552;0;;;IBK;1;NaN;0;0,728133225;0;;IBK;1;NaN;0;0,779307552;0;;;IBK;1;NaN;0;0,792792063;0
IBK;2;0,222222222;0,086956522;0,637508801;0,102541847;;IBK;2;0,176470588;0,065217391;0,631413924;0,07298122;;;IBK;2;0,133333333;0,086956522;0,56256601;0,072694661;;IBK;2;0,096551724;0,608695652;0,683440415;0,097348664;;;IBK;2;0,166666667;0,065217391;0,630929854;0,070489771
IBK;3;0,4;0,040816327;0,750140885;0,066102052;;IBK;3;0;0;0,732570543;-0,010159476;;;IBK;3;0,1875;0,06122449;0,62367669;0,071230767;;IBK;3;0,093959732;0,571428571;0,657086503;0,089278301;;;IBK;3;0;0;0,731866119;-0,013108833
IBK;4;0,285714286;0,024096386;0,808276315;0,032605451;;IBK;4;0,333333333;0,036144578;0,810333928;0,050603771;;;IBK;4;0,315789474;0,072289157;0,725959393;0,091004825;;IBK;4;0,185328185;0,578313253;0,693496207;0,183395424;;;IBK;4;0,333333333;0,036144578;0,810333928;0,050603771
IBK;5;0,246376812;0,120567376;0,677984521;0,104945128;;IBK;5;0,323076923;0,14893617;0,701124504;0,152063521;;;IBK;5;0,286821705;0,262411348;0,711185719;0,200049335;;IBK;5;0,186468647;0,80141844;0,720510746;0,172528743;;;IBK;5;0,291666667;0,14893617;0,698519537;0,140940709
IBK;6;0,742857143;0,376811594;0,881036801;0,476861167;;IBK;6;0,723404255;0,492753623;0,927115189;0,562932515;;;IBK;6;0,445544554;0,652173913;0,876457031;0,489554089;;IBK;6;0,186046512;0,811594203;0,809289545;0,219222854;;;IBK;6;0,729166667;0,507246377;0,928060689;0,575396211
IBK;7;1;0,014084507;0,850811468;0,025958624;;IBK;7;NaN;0;0,847186673;0;;;IBK;7;0;0;0,777185958;-0,010589113;;IBK;7;0,193133047;0,633802817;0,732859083;0,215164376;;;IBK;7;1;0,014084507;0,848123257;0,025958624
IBK;8;0,266666667;0,075471698;0,760881662;0,081585441;;IBK;8;0,333333333;0,047169811;0,783775324;0,061945207;;;IBK;8;0,377777778;0,160377358;0,740500826;0,18176053;;IBK;8;0,228571429;0,528301887;0,714572646;0,222485052;;;IBK;8;0,36;0,08490566;0,785279541;0,107072007
IBK;9;0,388888889;0,042944785;0,727183084;0,054007915;;IBK;9;0,333333333;0,024539877;0,718780148;0,02919863;;;IBK;9;0,368421053;0,085889571;0,672365454;0,09694668;;IBK;9;0,255591054;0,490797546;0,667275189;0,20671881;;;IBK;9;0,4;0,036809816;0,721317286;0,047501769
IBK;10;0,181818182;0,129032258;0,748689101;0,121184089;;IBK;10;0,166666667;0,032258065;0,774846232;0,041372351;;;IBK;10;0,126760563;0,14516129;0,728234656;0,095968059;;IBK;10;0,11898017;0,677419355;0,740408868;0,142936964;;;IBK;10;0,117647059;0,032258065;0,773872738;0,033669006
IBK;11;0,836734694;0,366071429;0,898572107;0,478818046;;IBK;11;0,836734694;0,366071429;0,898572107;0,478818046;;;IBK;11;0,696629213;0,553571429;0,878692681;0,581265842;;IBK;11;0,349137931;0,723214286;0,83666141;0,392101883;;;IBK;11;0,810344828;0,419642857;0,902497965;0,521555404
IBK;12;0,375;0,052631579;0,756757808;0,071325374;;IBK;12;0,4;0,035087719;0,802227199;0,050458716;;;IBK;12;0,404761905;0,149122807;0,766560128;0,177286943;;IBK;12;0,2;0,5;0,674104921;0,177918983;;;IBK;12;0,5;0,061403509;0,804591265;0,091126175
IBK;13;0,458333333;0,075862069;0,808046978;0,101561281;;IBK;13;0,4;0,013793103;0,831923585;0,019335065;;;IBK;13;0,229166667;0,075862069;0,796488646;0,06164776;;IBK;13;0,228915663;0,393103448;0,659074252;0,171972774;;;IBK;13;0,285714286;0,013793103;0,831439986;0,016153743
IBK;14;0,366666667;0,074829932;0,787951402;0,089416907;;IBK;14;0;0;0,807537226;-0,006022276;;;IBK;14;0,216216216;0,054421769;0,788022141;0,043491199;;IBK;14;0,215017065;0,428571429;0,664986619;0,159951306;;;IBK;14;0,272727273;0,020408163;0,808044188;0,022597418
IBK;15;0,484848485;0,120300752;0,774117987;0,158625675;;IBK;15;0,647058824;0,165413534;0,742198445;0,231533825;;;IBK;15;0,261904762;0,248120301;0,7345704;0,172660308;;IBK;15;0,23024055;0,503759398;0,696195617;0,20459473;;;IBK;15;0,594594595;0,165413534;0,741661847;0,224360791
IBK;16;0,25;0,053191489;0,789750865;0,064064547;;IBK;16;0;0;0,779283869;-0,010085141;;;IBK;16;0,180327869;0,117021277;0,758736406;0,090363561;;IBK;16;0,152416357;0,436170213;0,677714918;0,133378078;;;IBK;16;0,090909091;0,010638298;0,779692359;0,004016094
IBK;17;0,588235294;0,151515152;0,808888114;0,208153948;;IBK;17;0,612903226;0,143939394;0,808813842;0,202443639;;;IBK;17;0,337078652;0,227272727;0,788414839;0,206878588;;IBK;17;0,233108108;0,522727273;0,717691622;0,212212425;;;IBK;17;0,606060606;0,151515152;0,809133535;0,210480463
IBK;18;0,464285714;0,092198582;0,820197934;0,125793557;;IBK;18;0,454545455;0,070921986;0,81147426;0,09915024;;;IBK;18;0,280487805;0,163120567;0,789189116;0,145415235;;IBK;18;0,20441989;0,524822695;0,709206375;0,17992524;;;IBK;18;0,434782609;0,070921986;0,811236955;0,097435191
IBK;19;0,256410256;0,086956522;0,778052022;0,094446663;;IBK;19;0,230769231;0,052173913;0,782444149;0,058283367;;;IBK;19;0,168316832;0,147826087;0,771641035;0,091811498;;IBK;19;0,210526316;0,591304348;0,753252959;0,221864985;;;IBK;19;0,162162162;0,052173913;0,779545598;0,042962473
IBK;20;0,431818182;0,179245283;0,787850897;0,221039356;;IBK;20;0,4;0,188679245;0,784412983;0,221128021;;;IBK;20;0,2;0,254716981;0,798276305;0,157354001;;IBK;20;0,161016949;0,537735849;0,720236323;0,15603169;;;IBK;20;0,375;0,198113208;0,784450204;0,221210758
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plain;iteration;precision;recall;AUC;kappa;;Feature Selection;iteration;precision;recall;AUC;kappa;;;Under Sampling;iteration;precision;recall;AUC;kappa;;Over Sampling;iteration;precision;recall;AUC;kappa;;;SMOTE;iteration;precision;recall;AUC;kappa
Random Forest;1;NaN;0;0,5;0;;Random Forest;1;NaN;0;0,5;0;;;Random Forest;1;NaN;0;0,5;0;;Random Forest;1;NaN;0;0,5;0;;;Random Forest;1;NaN;0;0,5;0
Random Forest;2;0,5;0,02173913;0,685453705;0,038100631;;Random Forest;2;0,5;0,02173913;0,693858916;0,038100631;;;Random Forest;2;0,083333333;0,02173913;0,679820894;0,01637562;;Random Forest;2;0,116731518;0,652173913;0,775919732;0,132556325;;;Random Forest;2;0,25;0,02173913;0,67527724;0,033117743
Random Forest;3;1;0,020408163;0,6575796;0,038226646;;Random Forest;3;NaN;0;0,649146641;0;;;Random Forest;3;0,3;0,06122449;0,705752123;0,087435412;;Random Forest;3;0,115942029;0,489795918;0,758171316;0,122052716;;;Random Forest;3;1;0,040816327;0,674848046;0,075087472
Random Forest;4;1;0,012048193;0,705724131;0,021977525;;Random Forest;4;0;0;0,684404284;-0,005519106;;;Random Forest;4;0,181818182;0,024096386;0,697760177;0,024593195;;Random Forest;4;0,270114943;0,56626506;0,801818385;0,290137089;;;Random Forest;4;0,25;0,012048193;0,730781149;0,015869009
Random Forest;5;0,666666667;0,056737589;0,831993097;0,090763228;;Random Forest;5;0,307692308;0,028368794;0,794061969;0,036190027;;;Random Forest;5;0,346666667;0,184397163;0,782684788;0,185998786;;Random Forest;5;0,226337449;0,780141844;0,819437478;0,236212719;;;Random Forest;5;0,52;0,092198582;0,791688914;0,13128713
Random Forest;6;0,814814815;0,31884058;0,893394791;0,437542493;;Random Forest;6;0,780487805;0,463768116;0,867881044;0,560277489;;;Random Forest;6;0,44;0,637681159;0,859290284;0,480293309;;Random Forest;6;0,20295203;0,797101449;0,889657108;0,244372689;;;Random Forest;6;0,756097561;0,449275362;0,854740061;0,541159119
Random Forest;7;NaN;0;0,666683349;0;;Random Forest;7;NaN;0;0,64978909;0;;;Random Forest;7;0,25;0,014084507;0,67970973;0,019635772;;Random Forest;7;0,220858896;0,507042254;0,802967041;0,236142491;;;Random Forest;7;NaN;0;0,655015371;0
Random Forest;8;0,333333333;0,018867925;0,773215373;0,026430518;;Random Forest;8;0,5;0,018867925;0,742383271;0,030085586;;;Random Forest;8;0,361111111;0,122641509;0,730162595;0,144491919;;Random Forest;8;0,261538462;0,641509434;0,803651856;0,280619561;;;Random Forest;8;0,428571429;0,056603774;0,761012086;0,080913456
Random Forest;9;NaN;0;0,748620831;0;;Random Forest;9;0,333333333;0,006134969;0,737619461;0,007598574;;;Random Forest;9;0,34375;0,067484663;0,734527991;0,075167414;;Random Forest;9;0,296918768;0,650306748;0,795992282;0,286093795;;;Random Forest;9;0,5;0,012269939;0,76330798;0,018117304
Random Forest;10;0,142857143;0,016129032;0,784691801;0,020882206;;Random Forest;10;0,142857143;0,016129032;0,767312713;0,020882206;;;Random Forest;10;0,196721311;0,193548387;0,744015222;0,161185311;;Random Forest;10;0,11875;0,612903226;0,800798708;0,140195209;;;Random Forest;10;0,25;0,064516129;0,765487411;0,087290694
Random Forest;11;0,861111111;0,276785714;0,893234466;0,390408625;;Random Forest;11;0,906976744;0,348214286;0,893688102;0,475234435;;;Random Forest;11;0,747126437;0,580357143;0,90583876;0,621445088;;Random Forest;11;0,424390244;0,776785714;0,898067596;0,484840051;;;Random Forest;11;0,863636364;0,339285714;0,898788326;0,457773847
Random Forest;12;0;0;0,734878531;-0,004729309;;Random Forest;12;0,333333333;0,00877193;0,710063612;0,012445551;;;Random Forest;12;0,37037037;0,087719298;0,714581778;0,11057846;;Random Forest;12;0,275720165;0,587719298;0,807670773;0,286151705;;;Random Forest;12;0,5;0,026315789;0,715962113;0,041199415
Random Forest;13;0,5;0,013793103;0,735552085;0,02095072;;Random Forest;13;0,230769231;0,062068966;0,677210741;0,052797416;;;Random Forest;13;0,230769231;0,062068966;0,677210741;0,052797416;;Random Forest;13;0,291497976;0,496551724;0,755223477;0,263224164;;;Random Forest;13;0;0;0,669398054;-0,001538559
Random Forest;14;0,5;0,020408163;0,740742051;0,030625124;;Random Forest;14;0;0;0,682297009;-0,00454012;;;Random Forest;14;0,282051282;0,074829932;0,702112734;0,074423044;;Random Forest;14;0,273764259;0,489795918;0,724262842;0,241229763;;;Random Forest;14;0,428571429;0,020408163;0,700529952;0,028986969
Random Forest;15;0,5625;0,067669173;0,730939528;0,101100105;;Random Forest;15;0,75;0,090225564;0,633905276;0,142271092;;;Random Forest;15;0,283464567;0,270676692;0,635081293;0,196834078;;Random Forest;15;0,250922509;0,511278195;0,74495855;0,23138011;;;Random Forest;15;0,681818182;0,112781955;0,619850909;0,16948392
Random Forest;16;0;0;0,712476062;-0,003010312;;Random Forest;16;0;0;0,72467804;-0,003010312;;;Random Forest;16;0,2;0,127659574;0,709932885;0,105646054;;Random Forest;16;0,188679245;0,531914894;0,778155033;0,192703171;;;Random Forest;16;0,363636364;0,042553191;0,722411582;0,062034574
Random Forest;17;0,625;0,075757576;0,72979798;0,115797497;;Random Forest;17;0,583333333;0,053030303;0,725851869;0,081742011;;;Random Forest;17;0,348314607;0,234848485;0,746825674;0,216731028;;Random Forest;17;0,26984127;0,515151515;0,77793278;0,255301524;;;Random Forest;17;0,727272727;0,121212121;0,723759332;0,18421619
Random Forest;18;0;0;0,78493919;-0,004051375;;Random Forest;18;0,5;0,028368794;0,746118167;0,043747205;;;Random Forest;18;0,260869565;0,127659574;0,754677345;0,115116206;;Random Forest;18;0,25308642;0,581560284;0,783900979;0,251704025;;;Random Forest;18;0,666666667;0,042553191;0,765509802;0,069183089
Random Forest;19;0,4;0,034782609;0,765802797;0,052288862;;Random Forest;19;0,444444444;0,034782609;0,733969369;0,053909271;;;Random Forest;19;0,21978022;0,173913043;0,747496994;0,135162559;;Random Forest;19;0,225255973;0,573913043;0,808844377;0,239127456;;;Random Forest;19;0,444444444;0,069565217;0,767663439;0,101517816
Random Forest;20;0,545454545;0,056603774;0,737845483;0,09047861;;Random Forest;20;0,7;0,066037736;0,729013833;0,109844077;;;Random Forest;20;0,219047619;0,216981132;0,751600525;0,158849918;;Random Forest;20;0,240282686;0,641509434;0,792307328;0,275077172;;;Random Forest;20;0,625;0,094339623;0,743871985;0,148144849
